SectionID	NomorSoal	VersiID	TeksSoal	A	B	C	D	JawabanBenar	Poin	Status	TeksSoalLatex	URLGambarCache
S1	1	V1	Tentukan nilai x dari persamaan berikut!	7	8	6	9	A	1	Aktif	3x - 7 = 14, \quad x = \ldots	
S1	1	V2	Tentukan nilai x dari persamaan berikut!	6	7	5	8	A	1	Aktif	4x + 5 = 29, \quad x = \ldots	
S1	1	V3	Tentukan nilai x dari persamaan berikut!	6	7	8	5	A	1	Aktif	5x - 12 = 18, \quad x = \ldots	
S1	1	V4	Tentukan nilai x dari persamaan berikut!	8	7	9	6	A	1	Aktif	2x + 9 = 25, \quad x = \ldots	
S1	1	V5	Tentukan nilai x dari persamaan berikut!	6	5	7	8	A	1	Aktif	6x - 3 = 33, \quad x = \ldots	
S1	2	V1	Diketahui fungsi di bawah ini. Hitunglah nilainya!	10	8	12	14	A	1	Aktif	f(x) = 2x^2 - 3x + 1, \quad f(3) = \ldots	
S1	2	V2	Diketahui fungsi di bawah ini. Hitunglah nilainya!	11	13	9	15	A	1	Aktif	f(x) = 3x^2 + 2x - 5, \quad f(2) = \ldots	
S1	2	V3	Diketahui fungsi di bawah ini. Hitunglah nilainya!	7	9	5	11	A	1	Aktif	f(x) = x^2 - 4x + 7, \quad f(4) = \ldots	
S1	2	V4	Diketahui fungsi di bawah ini. Hitunglah nilainya!	6	8	4	10	A	1	Aktif	f(x) = x^2 + 3x - 4, \quad f(2) = \ldots	
S1	2	V5	Diketahui fungsi di bawah ini. Hitunglah nilainya!	18	20	16	22	A	1	Aktif	f(x) = 2x^2 - x + 3, \quad f(3) = \ldots	
S1	3	V1	Tentukan hasil pemfaktoran dari ekspresi berikut!	(x-4)(x-5)	(x-2)(x-10)	(x+4)(x+5)	(x-1)(x-20)	A	1	Aktif	x^2 - 9x + 20 = \ldots	
S1	3	V2	Tentukan hasil pemfaktoran dari ekspresi berikut!	(x-3)(x-4)	(x-2)(x-6)	(x+3)(x+4)	(x-1)(x-12)	A	1	Aktif	x^2 - 7x + 12 = \ldots	
S1	3	V3	Tentukan hasil pemfaktoran dari ekspresi berikut!	(x-3)(x-8)	(x-4)(x-6)	(x+3)(x+8)	(x-2)(x-12)	A	1	Aktif	x^2 - 11x + 24 = \ldots	
S1	3	V4	Tentukan hasil pemfaktoran dari ekspresi berikut!	(x-3)(x-5)	(x-2)(x-15)	(x+3)(x+5)	(x-1)(x-15)	A	1	Aktif	x^2 - 8x + 15 = \ldots	
S1	3	V5	Tentukan hasil pemfaktoran dari ekspresi berikut!	(x-3)(x-7)	(x-2)(x-14)	(x+3)(x+7)	(x-1)(x-21)	A	1	Aktif	x^2 - 10x + 21 = \ldots	
S1	4	V1	Tentukan himpunan penyelesaian dari pertidaksamaan berikut!	x < 2	x > 2	x \leq 2	x < 3	A	1	Aktif	3x - 6 < 0	
S1	4	V2	Tentukan himpunan penyelesaian dari pertidaksamaan berikut!	x \leq 3	x \geq 3	x < 3	x > 3	A	1	Aktif	2x + 4 \leq 10	
S1	4	V3	Tentukan himpunan penyelesaian dari pertidaksamaan berikut!	x > 2	x < 2	x \geq 2	x \leq 2	A	1	Aktif	4x - 8 > 0	
S1	4	V4	Tentukan himpunan penyelesaian dari pertidaksamaan berikut!	x \geq 4	x \leq 4	x > 4	x < 4	A	1	Aktif	5x + 10 \geq 30	
S1	4	V5	Tentukan himpunan penyelesaian dari pertidaksamaan berikut!	x < 5	x > 5	x \leq 5	x \geq 5	A	1	Aktif	6x - 12 < 18	
S1	5	V1	Hitunglah nilai dari ekspresi perpangkatan berikut!	32	16	64	8	A	1	Aktif	2^3 \times 2^2 = \ldots	
S1	5	V2	Hitunglah nilai dari ekspresi perpangkatan berikut!	9	27	3	81	A	1	Aktif	\dfrac{3^4}{3^2} = \ldots	
S1	5	V3	Hitunglah nilai dari ekspresi perpangkatan berikut!	64	32	128	16	A	1	Aktif	\left(2^3\right)^2 = \ldots	
S1	5	V4	Hitunglah nilai dari ekspresi perpangkatan berikut!	3125	625	15625	125	A	1	Aktif	5^2 \times 5^3 = \ldots	
S1	5	V5	Hitunglah nilai dari ekspresi perpangkatan berikut!	16	64	4	256	A	1	Aktif	\dfrac{4^4}{4^2} = \ldots	
